@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

Teams,3,10,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20161104.1115,81,9,7,2,0,77.777778,22.222222,0,0.55,0.349656,0.403332,70.784013,81.168796,8.919732,6.308752,2.61098,0.991081,0.700972,0.290109,2.869701,0.318856,289.429734,0.8,4,0.25,1,0.75,3,0.2,1,0.8,0.8,0.8,0.55,0.8,0.885,0.777778,0.227778,0.772222,0.222222,0.777778,0.777778,0.777778,0.55,0.8,0.834259,0.775,0.777778,0,0,0,0,0,0,11890,8783,3239,100,100,?
Teams,4,1,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20161104.1115,81,9,6,3,0,66.666667,33.333333,0,0.341463,0.379556,0.415253,76.836864,83.567674,8.919732,6.71264,2.207092,0.991081,0.745849,0.245232,2.30327,0.255919,232.301146,0.6,3,0.25,1,0.75,3,0.4,2,0.75,0.6,0.666667,0.35,0.85,0.902857,0.666667,0.316667,0.683333,0.333333,0.683333,0.666667,0.666667,0.35,0.85,0.881217,0.666667,0.666667,0,0,0,0,0,0,11734,8783,3239,100,100,?
Teams,4,2,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20161104.1115,81,9,7,2,0,77.777778,22.222222,0,0.571429,0.349012,0.420053,70.653623,84.533669,8.919732,7.168454,1.751278,0.991081,0.796495,0.194586,2.975727,0.330636,300.123231,0.6,3,0,0,1,4,0.4,2,1,0.6,0.75,0.632456,0.8,0.911111,0.777778,0.177778,0.822222,0.222222,0.851852,0.777778,0.772222,0.632456,0.8,0.808025,0.775,0.777778,0,0,0,0,0,0,11812,8783,3239,100,100,?
Teams,4,3,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20161104.1115,81,9,6,3,0,66.666667,33.333333,0,0.372093,0.413346,0.457763,83.677319,92.122715,8.919732,7.702279,1.217452,0.991081,0.855809,0.135272,1.558301,0.173145,157.165692,0.4,2,0,0,1,4,0.6,3,1,0.4,0.571429,0.478091,0.9,0.942857,0.666667,0.266667,0.733333,0.333333,0.809524,0.666667,0.640693,0.478091,0.9,0.918254,0.649351,0.666667,0,0,0,0,0,0,11773,8783,3239,100,94.444444,?
Teams,4,4,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20161104.1115,81,9,8,1,0,88.888889,11.111111,0,0.769231,0.265918,0.318567,53.83216,64.110069,8.919732,4.434229,4.485503,0.991081,0.492692,0.498389,4.520614,0.50229,455.936027,1,5,0.25,1,0.75,3,0,0,0.833333,1,0.909091,0.790569,1,1,0.888889,0.138889,0.861111,0.111111,0.907407,0.888889,0.886003,0.790569,1,1,0.883117,0.888889,0,0,0,0,0,0,11812,8783,3239,100,100,?
Teams,4,5,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20161104.1115,81,9,7,2,0,77.777778,22.222222,0,0.55,0.326625,0.403705,66.121701,81.243845,8.919732,6.309833,2.609898,0.991081,0.701093,0.289989,3.298343,0.366483,332.661331,0.8,4,0.25,1,0.75,3,0.2,1,0.8,0.8,0.8,0.55,0.8,0.911111,0.777778,0.227778,0.772222,0.222222,0.777778,0.777778,0.777778,0.55,0.8,0.808025,0.775,0.777778,0,0,0,0,0,0,11656,8783,3239,100,100,?
Teams,4,6,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20161104.1115,81,9,7,2,0,77.777778,22.222222,0,0.571429,0.33838,0.433349,68.501297,87.20953,8.919732,7.70014,1.219592,0.991081,0.855571,0.13551,3.131008,0.34789,315.784393,0.6,3,0,0,1,4,0.4,2,1,0.6,0.75,0.632456,0.75,0.858333,0.777778,0.177778,0.822222,0.222222,0.851852,0.777778,0.772222,0.632456,0.75,0.802778,0.775,0.777778,0,0,0,0,0,0,11890,8783,3239,100,100,?
Teams,4,7,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20161104.1115,81,9,6,3,0,66.666667,33.333333,0,0.307692,0.411183,0.466691,83.239437,93.919402,8.919732,8.2304,0.689331,0.991081,0.914489,0.076592,1.673068,0.185896,168.740792,0.8,4,0.5,2,0.5,2,0.2,1,0.666667,0.8,0.727273,0.316228,0.7,0.808333,0.666667,0.366667,0.633333,0.333333,0.666667,0.666667,0.658009,0.316228,0.7,0.764418,0.649351,0.666667,0,0,0,0,0,0,11968,8783,3239,100,100,?
Teams,4,8,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20161104.1115,81,9,8,1,0,88.888889,11.111111,0,0.769231,0.288319,0.321188,58.366969,64.637626,8.919732,4.690073,4.229658,0.991081,0.521119,0.469962,4.222606,0.469178,425.879831,1,5,0.25,1,0.75,3,0,0,0.833333,1,0.909091,0.790569,1,1,0.888889,0.138889,0.861111,0.111111,0.907407,0.888889,0.886003,0.790569,1,1,0.883117,0.888889,0,0.016,0,0.015625,0,15.625,12046,8783,3239,100,100,?
Teams,4,9,weka.classifiers.lazy.KStar,'-B 20 -M a',332458330800479083,20161104.1115,81,9,7,2,0,77.777778,22.222222,0,0.526316,0.368198,0.412333,74.537656,82.980209,8.919732,6.620298,2.299433,0.991081,0.735589,0.255493,2.585735,0.287304,260.7897,1,5,0.5,2,0.5,2,0,0,0.714286,1,0.833333,0.597614,0.9,0.926667,0.777778,0.277778,0.722222,0.222222,0.84127,0.777778,0.759259,0.597614,0.9,0.922222,0.75,0.777778,0,0,0,0,0,0,11734,8783,3239,100,94.444444,?
